Seconds,Volts
0, -0.9919729
5.015744E-08, -0.7828823
1.003149E-07, -0.5517045
1.504723E-07, -0.4259835
2.006297E-07, -0.2692852
2.507872E-07, 0.03419445
3.009446E-07, 0.1038907
3.51102E-07, 0.3000465
4.012595E-07, 0.4800352
4.514169E-07, 0.7213241
5.015743E-07, 0.9818876
5.517318E-07, 0.7600056
6.018892E-07, 0.5292761
6.520467E-07, 0.3557993
7.022041E-07, 0.1876786
7.523615E-07, 0.04665983
8.02519E-07, -0.2830677
8.526764E-07, -0.3037004
9.028338E-07, -0.6645638
9.529913E-07, -0.7876354
1.003149E-06, -1.032197
1.053306E-06, -0.8341293
1.103464E-06, -0.5391795
1.153621E-06, -0.3865522
1.203778E-06, -0.2683314
1.253936E-06, 0.02134089
1.304093E-06, 0.2204697
1.354251E-06, 0.3434574
1.404408E-06, 0.4947716
1.454566E-06, 0.7406032
1.504723E-06, 0.9547317
1.554881E-06, 0.711966
1.605038E-06, 0.6003361
1.655195E-06, 0.3135456
1.705353E-06, 0.235491
1.75551E-06, 0.01152691
1.805668E-06, -0.1625315
1.855825E-06, -0.4259834
1.905983E-06, -0.483673
1.95614E-06, -0.8504685
2.006297E-06, -1.040763
2.056455E-06, -0.7001172
2.106612E-06, -0.6175156
2.15677E-06, -0.4002517
2.206927E-06, -0.2132758
2.257085E-06, 0.03314786
2.307242E-06, 0.2113987
2.3574E-06, 0.3570196
2.407557E-06, 0.5498271
2.457714E-06, 0.6872487
2.507872E-06, 0.97337
2.558029E-06, 0.7946646
2.608187E-06, 0.4908221
2.658344E-06, 0.2930754
2.708502E-06, 0.2008752
2.758659E-06, 0.05123936
2.808816E-06, -0.1021215
2.858974E-06, -0.4738437
2.909131E-06, -0.6175164
2.959289E-06, -0.7733114
3.009446E-06, -0.9990671
3.059604E-06, -0.7001169
3.109761E-06, -0.5878852
3.159918E-06, -0.3698128
3.210076E-06, -0.2794746
3.260233E-06, -0.0417784
3.310391E-06, 0.2025142
3.360548E-06, 0.3039958
3.410706E-06, 0.6418276
3.460863E-06, 0.7706365
3.51102E-06, 0.9196905
3.561178E-06, 0.8022996
3.611335E-06, 0.4800349
3.661493E-06, 0.3523448
3.71165E-06, 0.2223373
3.761808E-06, 0.06275053
3.811965E-06, -0.2742808
3.862122E-06, -0.3620591
3.91228E-06, -0.6005814
3.962437E-06, -0.7164432
4.012595E-06, -0.9190994
4.062752E-06, -0.7876345
4.11291E-06, -0.5426332
4.163067E-06, -0.3700771
4.213225E-06, -0.232232
4.263382E-06, 0.05587434
4.31354E-06, 0.2794309
4.363697E-06, 0.451052
4.413854E-06, 0.623566
4.464012E-06, 0.791348
4.514169E-06, 0.8798113
4.564326E-06, 0.8465163
4.614484E-06, 0.5840653
4.664641E-06, 0.3385005
4.714799E-06, 0.2543486
4.764956E-06, -0.03809471
4.815114E-06, -0.2794746
4.865271E-06, -0.3499909
4.915429E-06, -0.623464
4.965586E-06, -0.686815
5.015744E-06, -0.9651718
5.065901E-06, -0.7183872
5.116058E-06, -0.5608007
5.166216E-06, -0.4598697
5.216373E-06, -0.1072688
5.266531E-06, 0.01147599
5.316688E-06, 0.1876789
5.366845E-06, 0.4316047
5.417003E-06, 0.5567695
5.46716E-06, 0.7581022
5.517318E-06, 0.902424
5.567475E-06, 0.7913464
5.617633E-06, 0.6558341
5.66779E-06, 0.300047
5.717948E-06, 0.2420142
5.768105E-06, 0.0008531035
5.818263E-06, -0.2830133
5.86842E-06, -0.2988283
5.918577E-06, -0.5878854
5.968735E-06, -0.7530038
6.018892E-06, -1.04617
6.06905E-06, -0.7164434
6.119207E-06, -0.5825351
6.169364E-06, -0.4326879
6.219522E-06, -0.2692841
6.269679E-06, 0.05587503
6.319837E-06, 0.2597786
6.369994E-06, 0.4327916
6.420152E-06, 0.4838517
6.470309E-06, 0.8517569
6.520467E-06, 0.9383191
6.570624E-06, 0.8409537
6.620781E-06, 0.5458305
6.670939E-06, 0.3371187
6.721096E-06, 0.1167088
6.771254E-06, 0.06949912
6.821411E-06, -0.1524809
6.871569E-06, -0.3129905
6.921726E-06, -0.5256684
6.971884E-06, -0.8398694
7.022041E-06, -0.8703713
7.072199E-06, -0.6795951
7.122356E-06, -0.646394
7.172514E-06, -0.4002509
7.222671E-06, -0.1395359
7.272828E-06, 0.03829528
7.322986E-06, 0.2223383
7.373143E-06, 0.3852165
7.4233E-06, 0.600336
7.473458E-06, 0.7406039
7.523615E-06, 1.000538
7.573773E-06, 0.7901655
7.62393E-06, 0.6189862
7.674088E-06, 0.4021721
7.724245E-06, 0.1092713
7.774403E-06, 0.08341231
7.82456E-06, -0.2756463
7.874717E-06, -0.3314974
7.924875E-06, -0.6141064
7.975033E-06, -0.7203147
8.025189E-06, -0.9969287
8.075347E-06, -0.8287007
8.125505E-06, -0.5407643
8.175662E-06, -0.473789
8.225819E-06, -0.2176551
8.275977E-06, -0.06800481
8.326134E-06, 0.2297089
8.376292E-06, 0.4445371
8.426449E-06, 0.5838551
8.476607E-06, 0.6847861
8.526764E-06, 0.9921736
8.576922E-06, 0.7962497
8.627079E-06, 0.4955591
8.677236E-06, 0.2946667
8.727394E-06, 0.125177
8.777552E-06, -0.01978121
8.827708E-06, -0.2338261
8.877866E-06, -0.41574
8.928024E-06, -0.6538338
8.978181E-06, -0.685251
9.028338E-06, -1.037383
9.078496E-06, -0.6945406
9.128653E-06, -0.6498837
9.178811E-06, -0.3368358
9.228968E-06, -0.25574
9.279125E-06, 0.06855968
9.329283E-06, 0.2249702
9.379441E-06, 0.3590526
9.429598E-06, 0.507111
9.479755E-06, 0.6776968
9.529913E-06, 0.9575423
9.580071E-06, 0.7385684
9.630227E-06, 0.6339734
9.680385E-06, 0.371342
9.730543E-06, 0.2734973
9.7807E-06, -0.06521792
9.830857E-06, -0.2681159
9.881015E-06, -0.303702
9.931172E-06, -0.5333922
9.98133E-06, -0.7334093
1.003149E-05, -0.9343851
1.008164E-05, -0.8414225
1.01318E-05, -0.6592119
1.018196E-05, -0.4525766
1.023212E-05, -0.2794758
1.028227E-05, 0.08272352
1.033243E-05, 0.2190212
1.038259E-05, 0.3590539
1.043275E-05, 0.4887485
1.04829E-05, 0.6981384
1.053306E-05, 0.9425826
1.058322E-05, 0.7946646
1.063338E-05, 0.5548555
1.068353E-05, 0.3599562
1.073369E-05, 0.2290713
1.078385E-05, -0.0655988
1.083401E-05, -0.2690964
1.088416E-05, -0.4684359
1.093432E-05, -0.5836217
1.098448E-05, -0.7283257
1.103464E-05, -0.890304
1.108479E-05, -0.7001168
1.113495E-05, -0.5773266
1.118511E-05, -0.3806992
1.123527E-05, -0.2199815
1.128542E-05, 0.05005477
1.133558E-05, 0.145586
1.138574E-05, 0.3930265
1.14359E-05, 0.6282028
1.148605E-05, 0.7911141
1.153621E-05, 0.8798115
1.158637E-05, 0.7613888
1.163653E-05, 0.4888202
1.168668E-05, 0.4157462
1.173684E-05, 0.1140087
1.1787E-05, 0.07628573
1.183715E-05, -0.1280245
1.188731E-05, -0.3917606
1.193747E-05, -0.5033259
1.198763E-05, -0.7417614
1.203778E-05, -0.9149437
1.208794E-05, -0.7828807
1.21381E-05, -0.6577339
1.218826E-05, -0.4119633
1.223841E-05, -0.2334502
1.228857E-05, -0.02250092
1.233873E-05, 0.1455872
1.238889E-05, 0.3047865
1.243904E-05, 0.5706163
1.24892E-05, 0.7119663
1.253936E-05, 0.8858715
1.258952E-05, 0.8058905
1.263967E-05, 0.605475
1.268983E-05, 0.3798375
1.273999E-05, 0.2249682
1.279015E-05, -0.04305057
1.28403E-05, -0.2422307
1.289046E-05, -0.4098068
1.294062E-05, -0.5517039
1.299078E-05, -0.7516285
1.304093E-05, -0.9803231
1.309109E-05, -0.7935158
1.314125E-05, -0.6153777
1.319141E-05, -0.4119622
1.324156E-05, -0.1965654
1.329172E-05, -0.04177863
1.334188E-05, 0.2354925
1.339204E-05, 0.4327931
1.344219E-05, 0.5073617
1.349235E-05, 0.7639572
1.354251E-05, 0.9575409
1.359266E-05, 0.8466101
1.364282E-05, 0.6003351
1.369298E-05, 0.4451232
1.374314E-05, 0.1258104
1.379329E-05, -0.03809517
1.384345E-05, -0.217657
1.389361E-05, -0.3832642
1.394377E-05, -0.4836735
1.399392E-05, -0.7299569
1.404408E-05, -0.9332553
1.409424E-05, -0.7183869
1.41444E-05, -0.5164511
1.419455E-05, -0.4737888
1.424471E-05, -0.2794745
1.429487E-05, -0.08847436
1.434503E-05, 0.2543523
1.439518E-05, 0.3916515
1.444534E-05, 0.4849632
1.44955E-05, 0.8078207
1.454566E-05, 0.9246725
1.459581E-05, 0.8316625
1.464597E-05, 0.5458788
1.469613E-05, 0.4282114
1.474629E-05, 0.268626
1.479644E-05, -0.07832091
1.48466E-05, -0.1047828
1.489676E-05, -0.4119644
1.494692E-05, -0.5340338
1.499707E-05, -0.7113065
1.504723E-05, -0.9256337
1.509739E-05, -0.7913546
1.514755E-05, -0.6508374
1.51977E-05, -0.4737876
1.524786E-05, -0.2020681
1.529802E-05, 0.08865342
1.534818E-05, 0.2449867
1.539833E-05, 0.4642762
1.544849E-05, 0.6005704
1.549865E-05, 0.6708145
1.554881E-05, 0.8828509
1.559896E-05, 0.7444032
1.564912E-05, 0.6418241
1.569928E-05, 0.385215
1.574943E-05, 0.2025158
1.579959E-05, 0.02133748
1.584975E-05, -0.2419133
1.589991E-05, -0.3423532
1.595007E-05, -0.5517076
1.600022E-05, -0.8479725
1.605038E-05, -0.8775894
1.610054E-05, -0.7935122
1.615069E-05, -0.6433532
1.620085E-05, -0.3602126
1.625101E-05, -0.2176524
1.630117E-05, -0.04177851
1.635132E-05, 0.1167067
1.640148E-05, 0.4316075
1.645164E-05, 0.6418275
1.65018E-05, 0.790163
1.655195E-05, 0.8858703
1.660211E-05, 0.720427
1.665227E-05, 0.5918215
1.670243E-05, 0.3590493
1.675258E-05, 0.1059068
1.680274E-05, -0.04519298
1.68529E-05, -0.193875
1.690306E-05, -0.4326876
1.695321E-05, -0.6372969
1.700337E-05, -0.7088973
1.705353E-05, -1.019096
1.710369E-05, -0.8414176
1.715384E-05, -0.5714723
1.7204E-05, -0.4651307
1.725416E-05, -0.1871072
1.730432E-05, 0.03919831
1.735447E-05, 0.1255565
1.740463E-05, 0.2980504
1.745479E-05, 0.4955623
1.750494E-05, 0.8148151
1.75551E-05, 0.9157807
1.760526E-05, 0.717913
1.765542E-05, 0.4836291
1.770558E-05, 0.337116
1.775573E-05, 0.1197481
1.780589E-05, 0.01147633
1.785605E-05, -0.1047865
1.79062E-05, -0.3917608
1.795636E-05, -0.6645623
1.800652E-05, -0.7648191
1.805668E-05, -0.9830839
1.810683E-05, -0.7935168
1.815699E-05, -0.5093386
1.820715E-05, -0.3484032
1.825731E-05, -0.1524822
1.830746E-05, 0.01152964
1.835762E-05, 0.22047
1.840778E-05, 0.4095585
1.845794E-05, 0.5465775
1.850809E-05, 0.8458265
1.855825E-05, 0.9880709
1.860841E-05, 0.7362211
1.865857E-05, 0.5759917
1.870872E-05, 0.4282136
1.875888E-05, 0.2113962
1.880904E-05, 0.04279
1.88592E-05, -0.2105595
1.890935E-05, -0.4107596
1.895951E-05, -0.6403328
1.900967E-05, -0.8553991
1.905983E-05, -1.005331
1.910998E-05, -0.7846965
1.916014E-05, -0.6015291
1.92103E-05, -0.3185641
1.926045E-05, -0.268332
1.931061E-05, -0.01869678
1.936077E-05, 0.1709979
1.941093E-05, 0.4112445
1.946109E-05, 0.6282054
1.951124E-05, 0.8097641
1.95614E-05, 0.9157834
1.961156E-05, 0.6920726
1.966171E-05, 0.5296501
1.971187E-05, 0.3397581
1.976203E-05, 0.1857714
1.981219E-05, -0.0380954
1.986234E-05, -0.232569
1.99125E-05, -0.2955622
1.996266E-05, -0.6508375
2.001282E-05, -0.8499865
2.006297E-05, -1.040761
2.011313E-05, -0.7113062
2.016329E-05, -0.525669
2.021345E-05, -0.4245996
2.02636E-05, -0.183242
2.031376E-05, -0.06496739
2.036392E-05, 0.1124596
2.041408E-05, 0.4702061
2.046423E-05, 0.5706121
2.051439E-05, 0.6981399
2.056455E-05, 0.9094462
2.061471E-05, 0.824751
2.066486E-05, 0.4940059
2.071502E-05, 0.4327904
2.076518E-05, 0.2686221
2.081534E-05, -0.04178113
2.086549E-05, -0.2249635
2.091565E-05, -0.4084353
2.096581E-05, -0.6433559
2.101597E-05, -0.6995286
2.106612E-05, -0.9596631
2.111628E-05, -0.8504662
2.116644E-05, -0.6379257
2.12166E-05, -0.4702464
2.126675E-05, -0.148517
2.131691E-05, -0.04177948
2.136707E-05, 0.1603674
2.141723E-05, 0.313547
2.146738E-05, 0.5431203
2.151754E-05, 0.7973012
2.15677E-05, 0.9086885
2.161785E-05, 0.7200527
2.166801E-05, 0.5838503
2.171817E-05, 0.3397713
2.176833E-05, 0.2543509
2.181849E-05, -0.005004338
2.186864E-05, -0.1222161
2.19188E-05, -0.4196444
2.196896E-05, -0.5948304
2.201911E-05, -0.7888559
2.206927E-05, -1.027944
2.211943E-05, -0.6935995
2.216959E-05, -0.6150023
2.221974E-05, -0.3700781
2.22699E-05, -0.1129216
2.232006E-05, 0.06275133
2.237022E-05, 0.2239217
2.242037E-05, 0.3590543
2.247053E-05, 0.6609819
2.252069E-05, 0.81434
2.257085E-05, 0.9273789
2.2621E-05, 0.8258533
2.267116E-05, 0.5043234
2.272132E-05, 0.3159509
2.277148E-05, 0.1682756
2.282163E-05, -0.08688959
2.287179E-05, -0.1072711
2.292195E-05, -0.4705898
2.297211E-05, -0.6463986
2.302226E-05, -0.8414239
2.307242E-05, -0.9502137
2.312258E-05, -0.7888507
2.317274E-05, -0.6463922
2.322289E-05, -0.2981389
2.327305E-05, -0.114484
2.332321E-05, -0.09223478
2.337336E-05, 0.1805665
2.342352E-05, 0.3030459
2.347368E-05, 0.4908238
2.352384E-05, 0.8173094
2.3574E-05, 0.9870225
2.362415E-05, 0.6855458
2.367431E-05, 0.4838521
2.372447E-05, 0.3056935
2.377462E-05, 0.2023013
2.382478E-05, -0.01977825
2.387494E-05, -0.274284
2.39251E-05, -0.331499
2.397525E-05, -0.5897968
2.402541E-05, -0.6795993
2.407557E-05, -0.8853168
2.412573E-05, -0.73486
2.417588E-05, -0.6375424
2.422604E-05, -0.3740175
2.42762E-05, -0.1694366
2.432636E-05, -0.08869615
2.437651E-05, 0.202515
2.442667E-05, 0.3557975
2.447683E-05, 0.6583223
2.452699E-05, 0.8097631
2.457714E-05, 0.9821209
2.46273E-05, 0.687246
2.467746E-05, 0.566538
2.472762E-05, 0.3056921
2.477777E-05, 0.2178356
2.482793E-05, 0.05420731
2.487809E-05, -0.2063389
2.492825E-05, -0.403147
2.49784E-05, -0.5992065
2.502856E-05, -0.8287055
2.507872E-05, -0.919682
2.512887E-05, -0.6941001
2.517903E-05, -0.5333884
2.522919E-05, -0.4465151
